,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"8th semester FAll 2024 (cse471, cse260, cse423, cse321)",,,,,,,,,,,,,"7th semester summer 2024 (CSE370, CSE331, CSE251, MAT215)",,,,,,,,,,,,,,,,,,,,,"6th semester spring 2024 (CSE221, CSE250, CSE320, MAT216)",,,,,,,,,,,,,,,,,
"৳9,451.00",,,,,18/30 CSE321 ,18/20 CSE260 mid. 28.5/30 CSE471. ,13.5/15 cse321 quiz 1. 15/15 cse260 quiz 1. 12/15 quiz 2 cse 260,,,,Beginning of 8thth semester FALL 2024 ,,,ENDING of 7th semester Summer 2024,,,,,,,,,,,,cse251 (11/20) quiz 2. cse331 (13/20) quiz 1 ,,"cse370 quiz 1 (10/10)  mat215 quiz 1 (11/20), cse251 quiz 1 (11/20) ",,,,Beginning of 7th semester summer 2024 ,,,ENDING of 6th semester spring 2024,mat216 QUIZ 3 (17/20),,12/20 in cse221 mid. quiz 3 14.5/15. 10/15 quiz 2.  ,,90% in 250 mid,mat216 mid 21/25,,,mat216 quiz 2 (18/20),mat216 quiz 2 (18/20),mat216 quiz 1 marks (17.5/20),,,,Starting of 6th semester spring 2024 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nothing special. mostly relaxed. ,cleaning the pc.,cse 471 project. and lots of assignment and task. ,gave mom 2k taka. too buzy with the projects.  ,,MID WEEK (22 nov - 27 nov),,JUST trying to focus on the academics. bullshit book. mostly played LOL ,hair cut. ,started studying a little bit. went to tatibajar with ma and dida. ,mostly played auto chess (Uninstalled after 5 days upon reaching Rook rank.) and rdr2 rarely. ,went to hometown for wedding ceremony (choto kakir vai). 13-10 to 18-10 ,"semester break. sick (cold fever). brought 3 books. 2 gents pants, belt. 1 panjabi (gift choto mama) ",semester final week ,,"tough week. quiz, assignment, project .pen-matador alltime 6 piece ",hair cut,after mid first week of class ,flood and uni opening delayed,,,independence 5 aug 2024 ,1 dofa ,9 dofa ,quota movement.,kacchi. stopped dringing tea. unistalled lol. ,Mirzapur s3. haircut,"DONE with tuition fee (89,650৳)",DONE with EID VECATION. installed elden ring (dlc) ,"installed lol, fc24. EID VECATION ",installed apex and gta 4. uninstalled GOT ,cox bazar tour with fmaily (26 27 28 29) ,went to hometown. cox bazar planning ,Semester break. installed GOT after finishing HFW,"Final CSE320 GONE. 221, mat216 average",installed Horizon forbidden west.,both 250 and 221 lab gone ,uninstalled apex. installed lol. ,"EID vacation. Invincible, kung fu panda 4",terrible 320 quiz. Installed our AC. done with EID shopping,left TECOL. (9060 taka earned),had some days off. literally did nothing except gaming. ,done with mid. (terrible) ,"cse221, 320, mat216 mid ",Not studying enough. wasting too much time on gaming and mobile ,done with tuition fee. ,terrible quizzes. installed lies of p,brought 4 books (450 taka) ,nothing special ,new campus at badda and start working at Tecol ,nothing special ,came from hometown. started reading newspaper and books 
,,,,,,arcane s02 ,"metro rail card recharge (500 taka). tuition fee 72,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activites ,week 53 (29-31 dec),week 52,week 51,week 50 ,week 49 ,weel 48,week 47 ,week 46,week 45 ,week 44 ,week 43,week 42,wek41 ,week 40,weel 39,week 38,week 37 ,week 36,week 35 ,week 34 ,week 33,week 32,week 31,week 30,week 29,week 28,week 27,week 26 ,week 25 ,week 24,week 23 ,week 22,week 21,week 20,week 19,week 18,week 17,week 16,week 15,week 14,week 13,week 12,week 11,week 10,week 9,week 8,week 7,week 6,week 5,week 4 ,week 3 ,week 2 (1/9/24 - 1/13/24)
Sleeping ,33.68%,23.21%,25.74%,26.93%,25.15%,26.19%,22.77%,22.62%,24.85%,22.77%,24.55%,25.00%,26.49%,26.64%,24.55%,25.74%,24.26%,23.51%,30.65%,28.47%,27.08%,26.31%,25.30%,28.27%,31.10%,29.32%,24.40%,24.40%,27.83%,23.51%,22.47%,20.57%,26.64%,23.51%,22.62%,22.32%,21.58%,23.51%,22.32%,24.40%,22.77%,26.19%,25.60%,21.73%,25.15%,23.07%,23.66%,23.51%,23.96%,25.45%,26.34%,25.21%
